OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,TakerBuyBaseVolume,TakerBuyQuoteVolume
2026-02-25T11:30:00.000Z,65362.20000000,65485.91000000,65331.99000000,65430.04000000,220.13085000,2026-02-25T11:59:59.999Z,14398876.91311880,56829,126.29960000,8261181.91451970
2026-02-25T12:00:00.000Z,65430.04000000,65929.94000000,65324.62000000,65780.60000000,484.67959000,2026-02-25T12:29:59.999Z,31818454.73677020,119545,309.93705000,20346525.87299200
2026-02-25T12:30:00.000Z,65780.60000000,66240.00000000,65749.10000000,66068.94000000,832.03857000,2026-02-25T12:59:59.999Z,54916334.75887050,141263,423.63626000,27954572.77563460
2026-02-25T13:00:00.000Z,66068.94000000,66300.00000000,66025.39000000,66179.44000000,733.37222000,2026-02-25T13:29:59.999Z,48505293.82879350,137139,424.14124000,28054845.55752570
2026-02-25T13:30:00.000Z,66179.44000000,66684.10000000,66142.70000000,66248.62000000,1126.67065000,2026-02-25T13:59:59.999Z,74833734.71362870,149039,678.32599000,45046465.59782990
2026-02-25T14:00:00.000Z,66248.63000000,66628.21000000,66207.72000000,66579.46000000,607.58518000,2026-02-25T14:29:59.999Z,40382171.96208520,121772,417.33444000,27739774.04449090
2026-02-25T14:30:00.000Z,66579.20000000,67009.78000000,66202.66000000,66973.20000000,1572.58266000,2026-02-25T14:59:59.999Z,104749886.09617830,344530,951.85234000,63426337.84811830
2026-02-25T15:00:00.000Z,66973.19000000,67249.20000000,66715.13000000,67071.05000000,1143.67403000,2026-02-25T15:29:59.999Z,76570763.78863600,265095,691.58756000,46304518.73474150
2026-02-25T15:30:00.000Z,67071.06000000,67578.00000000,66966.84000000,67412.33000000,1379.23429000,2026-02-25T15:59:59.999Z,92937091.36561450,277067,868.07735000,58497577.79758240
2026-02-25T16:00:00.000Z,67412.32000000,68100.01000000,67404.00000000,67872.16000000,1297.05853000,2026-02-25T16:29:59.999Z,87929056.12128200,238255,740.90402000,50220884.07181110
2026-02-25T16:30:00.000Z,67872.17000000,68332.00000000,67823.52000000,68297.35000000,762.37080000,2026-02-25T16:59:59.999Z,51884515.07358780,163608,486.93456000,33148594.01873230
2026-02-25T17:00:00.000Z,68297.35000000,68686.86000000,68016.53000000,68565.44000000,1326.57478000,2026-02-25T17:29:59.999Z,90728264.54591720,280722,633.16969000,43319512.99070900
2026-02-25T17:30:00.000Z,68565.44000000,68879.96000000,68400.89000000,68674.20000000,1136.61188000,2026-02-25T17:59:59.999Z,78058503.95949440,183857,629.77684000,43271628.73797210
2026-02-25T18:00:00.000Z,68674.20000000,69500.00000000,68373.33000000,69348.39000000,1191.76511000,2026-02-25T18:29:59.999Z,82160576.90497640,204837,701.54884000,48390921.91048350
2026-02-25T18:30:00.000Z,69348.39000000,69550.00000000,69203.49000000,69328.07000000,913.24262000,2026-02-25T18:59:59.999Z,63366208.96866280,188562,382.92824000,26571872.31533820
2026-02-25T19:00:00.000Z,69328.06000000,69406.93000000,68764.94000000,68972.90000000,1226.57269000,2026-02-25T19:29:59.999Z,84687534.79564440,182566,490.90128000,33884017.30598150
2026-02-25T19:30:00.000Z,68972.90000000,69093.34000000,68779.60000000,69038.26000000,446.26693000,2026-02-25T19:59:59.999Z,30750600.90206490,94735,205.90425000,14187338.58061480
2026-02-25T20:00:00.000Z,69038.26000000,69091.40000000,68619.22000000,68802.37000000,471.71759000,2026-02-25T20:29:59.999Z,32456948.66929820,103169,166.75522000,11475021.38934000
2026-02-25T20:30:00.000Z,68802.38000000,69374.95000000,68775.76000000,69148.69000000,605.21244000,2026-02-25T20:59:59.999Z,41843284.33486380,137241,337.89597000,23356843.55229720
2026-02-25T21:00:00.000Z,69148.69000000,69226.28000000,68800.00000000,68803.70000000,320.70309000,2026-02-25T21:29:59.999Z,22146552.48180730,107309,141.17436000,9748808.98725940
2026-02-25T21:30:00.000Z,68803.71000000,69988.83000000,68773.83000000,68919.72000000,1241.41641000,2026-02-25T21:59:59.999Z,86074551.31147920,300963,612.57526000,42497703.00697710
2026-02-25T22:00:00.000Z,68919.72000000,69176.00000000,68830.01000000,68878.86000000,275.31018000,2026-02-25T22:29:59.999Z,18993456.56730120,86409,134.63137000,9288205.85496300
2026-02-25T22:30:00.000Z,68878.87000000,68905.97000000,68055.91000000,68432.13000000,817.57413000,2026-02-25T22:59:59.999Z,55957141.73590040,147061,377.57589000,25829226.10432100
2026-02-25T23:00:00.000Z,68432.13000000,68696.97000000,68212.52000000,68277.25000000,374.16935000,2026-02-25T23:29:59.999Z,25607735.99746900,101415,168.86044000,11554785.21612220
2026-02-25T23:30:00.000Z,68277.24000000,68294.02000000,67600.00000000,67988.04000000,646.04857000,2026-02-25T23:59:59.999Z,43880405.72945230,146506,329.00055000,22343470.47827190
2026-02-26T00:00:00.000Z,67988.04000000,68445.82000000,67727.52000000,68280.80000000,621.06152000,2026-02-26T00:29:59.999Z,42301091.45264060,152373,410.63087000,27957667.88392410
2026-02-26T00:30:00.000Z,68280.79000000,68539.17000000,67974.51000000,68335.99000000,513.50690000,2026-02-26T00:59:59.999Z,35050923.91304860,146135,257.38572000,17577382.70722500
2026-02-26T01:00:00.000Z,68335.99000000,68700.00000000,68210.35000000,68390.41000000,373.86209000,2026-02-26T01:29:59.999Z,25601205.91560970,117608,185.81373000,12727461.99663530
2026-02-26T01:30:00.000Z,68390.41000000,68551.99000000,68221.44000000,68248.30000000,245.32826000,2026-02-26T01:59:59.999Z,16765459.85609400,89894,101.42439000,6931426.66584920
2026-02-26T02:00:00.000Z,68248.30000000,68267.10000000,67779.93000000,67936.40000000,568.28258000,2026-02-26T02:29:59.999Z,38616881.87403000,135659,262.24796000,17813679.51335760
2026-02-26T02:30:00.000Z,67936.41000000,68351.00000000,67936.41000000,68257.45000000,264.91152000,2026-02-26T02:59:59.999Z,18050312.60086120,97998,155.40678000,10590109.69035570
2026-02-26T03:00:00.000Z,68257.46000000,68379.59000000,68046.38000000,68102.57000000,246.29193000,2026-02-26T03:29:59.999Z,16790494.58263540,80143,113.52092000,7738984.39672960
2026-02-26T03:30:00.000Z,68102.57000000,68316.16000000,68044.18000000,68216.86000000,162.22550000,2026-02-26T03:59:59.999Z,11067133.92561460,79513,78.84703000,5379017.42285880
2026-02-26T04:00:00.000Z,68216.87000000,68693.42000000,68179.62000000,68562.56000000,312.83797000,2026-02-26T04:29:59.999Z,21426833.17740350,97849,171.88509000,11770560.07077330
2026-02-26T04:30:00.000Z,68562.55000000,68860.00000000,68552.12000000,68571.36000000,274.72077000,2026-02-26T04:59:59.999Z,18877271.29926680,108701,149.19298000,10252237.24036490
2026-02-26T05:00:00.000Z,68571.36000000,68571.37000000,68127.58000000,68357.86000000,309.54751000,2026-02-26T05:29:59.999Z,21145139.15794920,126949,148.82258000,10165587.95916330
2026-02-26T05:30:00.000Z,68357.86000000,68509.57000000,68261.72000000,68443.81000000,177.27232000,2026-02-26T05:59:59.999Z,12125239.44157360,70137,97.33911000,6657691.34883920
2026-02-26T06:00:00.000Z,68443.82000000,68522.00000000,68250.01000000,68255.65000000,353.72587000,2026-02-26T06:29:59.999Z,24189176.37831620,72744,180.34643000,12331235.95213880
2026-02-26T06:30:00.000Z,68255.65000000,68260.20000000,68042.90000000,68176.75000000,264.90772000,2026-02-26T06:59:59.999Z,18055667.10226840,78105,92.64520000,6314692.84115870
2026-02-26T07:00:00.000Z,68176.75000000,68290.18000000,68103.30000000,68177.70000000,205.37014000,2026-02-26T07:29:59.999Z,14008545.49588830,70061,103.26576000,7043740.34820860
2026-02-26T07:30:00.000Z,68177.69000000,68194.11000000,67817.87000000,67825.04000000,634.77392000,2026-02-26T07:59:59.999Z,43154851.12473150,92665,174.36562000,11854575.34434100
2026-02-26T08:00:00.000Z,67825.05000000,68236.00000000,67792.00000000,68029.71000000,328.71173000,2026-02-26T08:29:59.999Z,22355851.87060610,95809,188.49461000,12820670.92627410
2026-02-26T08:30:00.000Z,68029.72000000,68144.27000000,67904.00000000,67954.01000000,432.97935000,2026-02-26T08:59:59.999Z,29451303.98241430,99446,204.53251000,13915214.35109860
2026-02-26T09:00:00.000Z,67954.00000000,68418.51000000,67933.25000000,68188.52000000,414.29256000,2026-02-26T09:29:59.999Z,28238497.32251810,91357,204.36958000,13932575.70958550
2026-02-26T09:30:00.000Z,68188.52000000,68644.59000000,68150.00000000,68589.41000000,681.02363000,2026-02-26T09:59:59.999Z,46645595.90056870,86935,454.57323000,31132598.81808820
2026-02-26T10:00:00.000Z,68589.41000000,68722.64000000,68332.27000000,68332.28000000,474.25354000,2026-02-26T10:29:59.999Z,32498602.68362560,84291,236.34712000,16196230.12550870
2026-02-26T10:30:00.000Z,68332.27000000,68464.49000000,68257.64000000,68301.62000000,214.40718000,2026-02-26T10:59:59.999Z,14657389.21830700,78066,104.17521000,7121732.29783290
2026-02-26T11:00:00.000Z,68301.61000000,68404.25000000,68144.15000000,68158.58000000,303.84363000,2026-02-26T11:29:59.999Z,20749239.99509360,81308,136.31459000,9310424.07634980
2026-02-26T11:30:00.000Z,68158.59000000,68230.70000000,67965.46000000,68051.31000000,419.10568000,2026-02-26T11:59:59.999Z,28534572.42657300,68189,164.50832000,11201336.73612150
2026-02-26T12:00:00.000Z,68051.30000000,68303.83000000,68027.85000000,68150.46000000,323.07689000,2026-02-26T12:29:59.999Z,22033829.71008320,84824,184.51395000,12584883.03500170
2026-02-26T12:30:00.000Z,68150.45000000,68290.17000000,68009.88000000,68171.56000000,319.00192000,2026-02-26T12:59:59.999Z,21742246.25023520,92730,166.12233000,11321300.78681720
2026-02-26T13:00:00.000Z,68171.55000000,68213.98000000,67923.34000000,68158.51000000,290.76534000,2026-02-26T13:29:59.999Z,19790738.90722820,101537,135.23448000,9207204.06066200
2026-02-26T13:30:00.000Z,68158.51000000,68195.52000000,67848.69000000,67905.35000000,408.20249000,2026-02-26T13:59:59.999Z,27772046.28366820,110765,201.27403000,13694376.87839270
2026-02-26T14:00:00.000Z,67905.34000000,68151.78000000,67650.82000000,68116.00000000,527.90400000,2026-02-26T14:29:59.999Z,35826511.19401920,135480,215.78698000,14653324.74748490
2026-02-26T14:30:00.000Z,68116.00000000,68272.21000000,67264.22000000,67697.74000000,1241.36333000,2026-02-26T14:59:59.999Z,84049166.48927360,355193,553.65480000,37483079.61779070
2026-02-26T15:00:00.000Z,67696.89000000,67743.36000000,66855.21000000,66979.88000000,1124.27796000,2026-02-26T15:29:59.999Z,75517784.64352390,301880,502.38670000,33743497.36931920
2026-02-26T15:30:00.000Z,66979.87000000,67610.47000000,66761.16000000,67382.00000000,971.60344000,2026-02-26T15:59:59.999Z,65299877.57565780,284884,530.86180000,35690416.91771310
2026-02-26T16:00:00.000Z,67382.00000000,67566.85000000,67055.00000000,67452.01000000,504.68090000,2026-02-26T16:29:59.999Z,33943953.18215210,183838,259.75883000,17472158.78694350
2026-02-26T16:30:00.000Z,67452.00000000,67458.05000000,66500.00000000,66643.55000000,1545.52003000,2026-02-26T16:59:59.999Z,103205156.62373190,263196,642.36694000,42913177.86767250
2026-02-26T17:00:00.000Z,66643.56000000,67044.10000000,66600.46000000,66936.31000000,565.10201000,2026-02-26T17:29:59.999Z,37785278.55064870,184365,292.86302000,19580722.35077930
2026-02-26T17:30:00.000Z,66936.31000000,67022.65000000,66620.01000000,66826.80000000,320.72554000,2026-02-26T17:59:59.999Z,21426465.93742910,119315,155.59203000,10395219.35780570
2026-02-26T18:00:00.000Z,66826.80000000,67027.24000000,66575.73000000,66863.00000000,439.13640000,2026-02-26T18:29:59.999Z,29329805.97551420,140336,201.79128000,13481370.94231970
2026-02-26T18:30:00.000Z,66863.00000000,67373.90000000,66842.51000000,67310.53000000,619.33556000,2026-02-26T18:59:59.999Z,41636629.72970940,127059,397.25235000,26705937.86989980
